Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,New Zealand,NZL,..,..,106569860000,109642590000,112351140000,112401800000,112153650000,105931850000,151265010000,184212968000,212342931000,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Nicaragua,NIC,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Niger,NER,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Nigeria,NGA,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,North Macedonia,MKD,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Norway,NOR,148825000000,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Oman,OMN,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Pakistan,PAK,674248000000,2832571000000,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Palau,PLW,..,..,52870917,177991821,202718309,227998358,241445459,240221474,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Panama,PAN,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Papua New Guinea,PNG,1505900000,5621600000,15365100000,17966880000,21944000000,23704200000,29121100000,33666850000,40168385513.6,48173112547.4733,53679857585.634,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Paraguay,PRY,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Peru,PER,10346000000,..,111530742539.541,138203069701.025,153537836922.523,170265853525.263,188230283525.733,202128486074.916,244715451730.819,309587259565.873,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Philippines,PHL,552641000000,2166710000000,5735242000000,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Poland,POL,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Portugal,PRT,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Qatar,QAT,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Romania,ROU,..,22518900000,309484720000,321855340000,355600130000,377498100000,408220750000,461280960000,611221100000,664855290000,707020360000,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Russian Federation,RUS,..,4540378000000,8851724551740.4,11250670224079.3,12193222000000,14993746000000,16792961000000,18935983000000,24752773000000,28331504000000,30271512000000,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Rwanda,RWA,106297000000,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Samoa,WSM,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,San Marino,SMR,..,..,671889448.95,728308709.33,760475441.97,738727869,784122270,795289525,1330059926.67,1492173904,1794280931.75,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Sao Tome and Principe,STP,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Saudi Arabia,SAU,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Senegal,SEN,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Serbia,SRB,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Seychelles,SYC,..,..,11784224932.45,11616521354,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Sierra Leone,SLE,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Singapore,SGP,54882000000,138870000000,397391200000,437506000000,480707296111.6,518235000000,563056984601.82,657225559215.77,730858577430.16,875659916197.36,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..
