Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Jordan,JOR,1138743539.78461,3441302675.1737,16047206176.5456,16571894982.6299,15543454210.4578,..,..,..,..,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Kazakhstan,KAZ,..,2098969798.52754,29250310667.5371,27854795818.7629,29603056785.2248,30746770568.3835,30976612438.5176,28957509931.0023,35638096635.119,34377998805.6455,35076053023.0673,35964591353.82
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Kenya,KEN,236115155.443087,897865882.028211,7874414432.36248,7514864907.05536,7553884912.6237,7325420063.33911,8164380806.22987,9115806005.21186,8297263558.90541,9490896580.9297,7969488013.00049,7341776189.84466
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,"Korea, Rep.",KOR,14916134692.5271,96250965793.1312,362834692845.466,366707257929.029,370154204332.626,388804901513.924,403082233385.987,408819161841.749,443462937570.176,463281305723.059,423365991593.016,420930029064.025
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Kosovo,XKX,..,57409059,783153103.764853,770550134.507563,637797614.52744,819582674.409873,881167306.173397,965831893.179934,1095367616.61861,1244319385.1658,1247751320.33903,1245423955.07842
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Kuwait,KWT,..,7779055735.12478,35175442351.7033,30960893267.6336,33936274928.4313,36889754716.8625,40282453060.4129,43668410965.0783,52918606999.3546,49525016980.8271,52461721622.8115,52619359334.9437
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Kyrgyz Republic,KGZ,..,261849461.304369,1957488936.70541,1777941002.20899,1967811282.96594,2177013757.29635,2156976620.3674,2428567693.63364,2811615193.09799,2982533267.78709,2798508309.69425,3236844683.24645
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Lao PDR,LAO,8375549.36175207,144286276.317585,1233427355.6935,1068907282.66709,916030473.782855,1125475868.42048,980441052.937056,1110905148.66408,1894600080.96868,1950518267.75273,1576038534.74606,1769745792.21118
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Latvia,LVA,..,919162856.263873,3228078824.94263,3445996161.48029,3511946854.90789,4613455660.77037,4370730735.82853,4479621403.97313,5289640347.50005,5491144972.57496,4460033442.8517,4956772380.01986
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Lebanon,LBN,4210389197.33679,8474638463.32523,50668863616.6926,48531390536.9734,53905512885.564,55411532096.3304,52380608542.3956,52213484574.221,42440403086.5713,35239219335.7146,32512880021.5268,..
